id_respondente,sexo_desc,escolaridade_desc,raca_desc,religiao_desc,rend1_desc,rend2_desc,regiao_desc,cond_desc,porte_desc,p4_desc,p6a_desc,p6b_desc,p6c_desc,p6d_desc,p6e_desc,idade_num,idade_num_norm,p5_desc_target
815,FEM,Superior completo,Branca,Batista/ Metodista/ Presbiteriana,MAIS DE 1 A 2,MAIS DE 2 A 5,SUDESTE,PERIFERIA,MAIS DE 500.000,"Precisou fazer, mas não foi nenhuma destas atividades/ Outras",Concorda totalmente,Concorda totalmente,Discorda totalmente,Discorda em parte,Concorda totalmente,39.0,0.31081081081081086,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
1968,FEM,2ª série,Parda,Outras religiões,MAIS DE 1 A 2,MAIS DE 2 A 5,SUL,PERIFERIA,DE 100.001 A 500.000,"Bico de serviços gerais, como faxina, manutenção, reformas, jardinagem, “marido de aluguel”, entre outras",Discorda em parte,Concorda em parte,Discorda totalmente,Concorda em parte,Concorda totalmente,39.0,0.31081081081081086,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
440,FEM,3ª série,Parda,Católica Apostólica Romana,NÃO TEM RENDIMENTO PESSOAL,ATÉ 1,NORDESTE,INTERIOR,DE 20.001 A 50.000,Não precisou fazer atividade extra,Não sabe/ Não respondeu,Concorda em parte,Concorda totalmente,Discorda em parte,Concorda totalmente,50.0,0.45945945945945943,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
1647,MAS,Superior completo,Parda,Católica Apostólica Romana,ATÉ 1,ATÉ 1,NORTE,CAPITAL,DE 100.001 A 500.000,Não precisou fazer atividade extra,Concorda totalmente,Concorda totalmente,Não sabe/ Não respondeu,Discorda totalmente,Concorda totalmente,45.0,0.3918918918918919,Não sabe/ Não respondeu
166,MAS,Superior completo,Branca,Católica Apostólica Romana,MAIS DE 5 A 10,MAIS DE 10 A 20,CENTRO OESTE,INTERIOR,DE 50.001 A 100.000,Não precisou fazer atividade extra,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda em parte,Concorda em parte,45.0,0.3918918918918919,Tenho visto mais pessoas trabalhando nos semáforos/ruas
1637,MAS,Analfabeto,Branca,Católica Apostólica Romana,ATÉ 1,ATÉ 1,NORDESTE,INTERIOR,DE 50.001 A 100.000,Não precisou fazer atividade extra,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,43.0,0.3648648648648649,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
1956,MAS,3ª série,Branca,Adventista,MAIS DE 2 A 5,MAIS DE 2 A 5,NORDESTE,CAPITAL,MAIS DE 500.000,Não precisou fazer atividade extra,"Não concorda, nem discorda",Concorda em parte,Discorda em parte,Concorda em parte,Concorda em parte,33.0,0.22972972972972971,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
140,FEM,8ª série (ou 9º ano),Parda,Católica Apostólica Romana,NÃO TEM RENDIMENTO PESSOAL,ATÉ 1,SUDESTE,INTERIOR,DE 50.001 A 100.000,Trabalhar como babá/ cuidar de crianças,Discorda totalmente,Concorda em parte,Discorda em parte,Concorda em parte,Discorda totalmente,25.0,0.1216216216216216,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
457,MAS,2ª série,Parda,Católica Apostólica Romana,MAIS DE 1 A 2,MAIS DE 1 A 2,NORDESTE,CAPITAL,MAIS DE 500.000,Não sabe/ Não respondeu,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,59.0,0.5810810810810811,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
1664,FEM,3ª série,Branca,Assembléia de Deus,ATÉ 1,ATÉ 1,NORDESTE,CAPITAL,MAIS DE 500.000,"Produzir alimentos em casa para vender (bolos, pães, doces, refeições, etc.)",Discorda totalmente,Concorda totalmente,Discorda totalmente,Discorda totalmente,Concorda totalmente,32.0,0.21621621621621623,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
512,FEM,7ª série (ou 8º ano),Preta,Igreja Internacional da Graça,ATÉ 1,MAIS DE 1 A 2,SUL,INTERIOR,DE 20.001 A 50.000,Não precisou fazer atividade extra,"Não concorda, nem discorda",Concorda totalmente,Concorda totalmente,Discorda totalmente,Discorda totalmente,59.0,0.5810810810810811,Tenho visto mais pessoas trabalhando nos semáforos/ruas
978,FEM,7ª série (ou 8º ano),Parda,É religioso mas não segue nenhuma/ Agnóstico,NÃO TEM RENDIMENTO PESSOAL,ATÉ 1,NORDESTE,CAPITAL,MAIS DE 500.000,"Bico de serviços de beleza (cabeleireiro, barbeiro, manicure, depilação, entre outros)",Concorda totalmente,Concorda em parte,Concorda em parte,Não sabe/ Não respondeu,Não sabe/ Não respondeu,31.0,0.20270270270270274,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos
88,MAS,8ª série (ou 9º ano),Parda,Católica Apostólica Romana,ATÉ 1,ATÉ 1,SUDESTE,PERIFERIA,DE 50.001 A 100.000,Não precisou fazer atividade extra,Discorda totalmente,Concorda totalmente,Discorda totalmente,Concorda totalmente,Concorda totalmente,56.0,0.5405405405405406,Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
496,FEM,Superior completo,Parda,Católica Apostólica Romana,NÃO TEM RENDIMENTO PESSOAL,ATÉ 1,CENTRO OESTE,INTERIOR,DE 5.001 A 10.000,Não precisou fazer atividade extra,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,44.0,0.3783783783783784,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
1781,MAS,7ª série (ou 8º ano),Branca,Católica Apostólica Romana,MAIS DE 1 A 2,MAIS DE 2 A 5,SUDESTE,INTERIOR,DE 5.001 A 10.000,Não precisou fazer atividade extra,Discorda em parte,"Não concorda, nem discorda","Não concorda, nem discorda",Discorda totalmente,"Não concorda, nem discorda",34.0,0.24324324324324326,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
1224,MAS,4ª série (ou 5º ano),Parda,É religioso mas não segue nenhuma/ Agnóstico,ATÉ 1,ATÉ 1,CENTRO OESTE,INTERIOR,DE 100.001 A 500.000,Não precisou fazer atividade extra,Concorda em parte,Concorda totalmente,Não sabe/ Não respondeu,Concorda totalmente,Concorda totalmente,54.0,0.5135135135135136,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade
1448,FEM,3ª série,Parda,"Ateu, não tem religião",ATÉ 1,MAIS DE 1 A 2,SUDESTE,CAPITAL,MAIS DE 500.000,"Bico de serviços de beleza (cabeleireiro, barbeiro, manicure, depilação, entre outros)",Discorda em parte,Concorda totalmente,Concorda totalmente,Discorda totalmente,Discorda totalmente,42.0,0.3513513513513513,Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
820,MAS,Superior completo,Parda,Outras Evangélicas específicas,MAIS DE 2 A 5,MAIS DE 2 A 5,SUDESTE,PERIFERIA,MAIS DE 500.000,"Precisou fazer, mas não foi nenhuma destas atividades/ Outras",Concorda totalmente,Concorda totalmente,Concorda em parte,Discorda em parte,Discorda totalmente,24.0,0.10810810810810811,Tenho visto o aumento da população em situação de rua/ pessoas morando na rua
999,MAS,8ª série (ou 9º ano),Branca,Católica Apostólica Romana,MAIS DE 1 A 2,MAIS DE 1 A 2,SUDESTE,CAPITAL,MAIS DE 500.000,Não precisou fazer atividade extra,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,30.0,0.1891891891891892,Tenho visto mais pessoas trabalhando nos semáforos/ruas
