IDADE,SEXO,ESCOLARIDADE,P1_1,P1_2,P1_3,P2_1,P2_2,P2_3,P2_4,P2_5,P2_6,P2_7,P2_8,P3A,P3B,P3C,P3D,P3E,P3F,P4_1,P4_2,P4_3,P4_4,P4_5,P4_6,P4_7,P4_8,P4_9,P4_10,P5_1,P5_2,P5_3,P5_4,P6A,P6B,P6C,P6D,P6E,RACA_COR,RELIGIÃO,REND1,REND2,REGIAO,COND,PORTE,ID_Ipec,DATA_ENTREVISTA,TIPO_COLETA,id_respondente
28.0,FEM,Superior completo,"Trabalho (no processo de seleção, no dia a dia, na promoção profissional)",Transporte público,Escolas/faculdades e universidades,Trabalho,,,,,,,,Não,Não,Sim,Não,Não,Não,Não precisou fazer atividade extra,,,,,,,,,,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade,,,,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Branca,É religioso mas não segue nenhuma/ Agnóstico,NÃO TEM RENDIMENTO PESSOAL,MAIS DE 2 A 5,SUDESTE,INTERIOR,DE 50.001 A 100.000,186640803.0,2023-07-02,Face a face,1066
24.0,FEM,3ª série,"Rua e espaços públicos de convivência como parques, praças, etc.","Local onde mora (rua, vila, condomínio, etc.)",Ambiente familiar,Não sofri/ não vi alguém sofrer alguma situação de preconceito,,,,,,,,Não,Não,Não,Não,Não,Não,Não precisou fazer atividade extra,,,,,,,,,,Tenho visto mais pessoas trabalhando nos semáforos/ruas,Tenho visto mais favelas/barracos/áreas ocupadas,,,Concorda totalmente,"Não concorda, nem discorda",Discorda totalmente,Concorda totalmente,Concorda totalmente,Branca,É religioso mas não segue nenhuma/ Agnóstico,NÃO TEM RENDIMENTO PESSOAL,MAIS DE 1 A 2,CENTRO OESTE,CAPITAL,MAIS DE 500.000,186641310.0,2023-07-03,Face a face,1067
20.0,MAS,3ª série,"Rua e espaços públicos de convivência como parques, praças, etc.",Transporte público,"Shoppings e estabelecimentos comerciais (lojas, cinemas, restaurantes, bares, mercados e supermercados, farmácias)",Espaços públicos,,,,,,,,,,,,,,Não precisou fazer atividade extra,,,,,,,,,,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade,,,,Concorda em parte,Concorda em parte,Discorda totalmente,Concorda em parte,Discorda em parte,Parda,Católica Apostólica Romana,ATÉ 1,MAIS DE 1 A 2,CENTRO OESTE,CAPITAL,MAIS DE 500.000,186641350.0,2023-07-03,Face a face,1068
30.0,MAS,3ª série,"Rua e espaços públicos de convivência como parques, praças, etc.","Trabalho (no processo de seleção, no dia a dia, na promoção profissional)",Transporte público,Espaços públicos,,,,,,,,,,,,,,Não precisou fazer atividade extra,,,,,,,,,,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade,,,,"Não concorda, nem discorda","Não concorda, nem discorda","Não concorda, nem discorda",Concorda em parte,Concorda em parte,Parda,Católica Apostólica Romana,MAIS DE 2 A 5,MAIS DE 2 A 5,CENTRO OESTE,CAPITAL,MAIS DE 500.000,186641916.0,2023-07-03,Face a face,1069
55.0,FEM,4ª série (ou 5º ano),Não sabe/ Não respondeu,,,Não sofri/ não vi alguém sofrer alguma situação de preconceito,,,,,,,,Não,Não,Não,Não,Não,Não,Não precisou fazer atividade extra,,,,,,,,,,Tenho visto mais pessoas trabalhando nos semáforos/ruas,Tenho visto o aumento da população em situação de rua/ pessoas morando na rua,,,Concorda em parte,Concorda em parte,Discorda totalmente,Discorda em parte,Concorda totalmente,Parda,Católica Apostólica Romana,ATÉ 1,NÃO RESPONDEU,SUDESTE,INTERIOR,DE 100.001 A 500.000,186642029.0,2023-07-01,Face a face,1070
63.0,FEM,3ª série,Hospitais e postos de saúde,Transporte público,Escolas/faculdades e universidades,Espaços públicos,Transporte público,,,,,,,Não,Não,Não,Não,Não,Não,Não precisou fazer atividade extra,,,,,,,,,,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos,Tenho visto o aumento da população em situação de rua/ pessoas morando na rua,,,Discorda em parte,Não sabe/ Não respondeu,Discorda em parte,Discorda em parte,Não sabe/ Não respondeu,Preta,Católica Apostólica Romana,ATÉ 1,ATÉ 1,SUDESTE,INTERIOR,DE 100.001 A 500.000,186642030.0,2023-07-01,Face a face,1071
83.0,MAS,4ª série (ou 5º ano),Não existe diferença no tratamento entre pessoas negras e brancas,,,Não sofri/ não vi alguém sofrer alguma situação de preconceito,,,,,,,,,,,,,,Não precisou fazer atividade extra,,,,,,,,,,Tenho visto o aumento da população em situação de rua/ pessoas morando na rua,,,,Discorda totalmente,Concorda em parte,Não sabe/ Não respondeu,Concorda totalmente,Concorda totalmente,Amarela,Católica Apostólica Romana,MAIS DE 1 A 2,NÃO RESPONDEU,SUDESTE,INTERIOR,DE 100.001 A 500.000,186642031.0,2023-07-01,Face a face,1072
54.0,FEM,2ª série (ou 3º ano),Transporte público,Escolas/faculdades e universidades,"Rua e espaços públicos de convivência como parques, praças, etc.",No ambiente familiar,Banheiros públicos e de estabelecimentos privados,,,,,,,Não,Não,Não,Não,Não,Não,"Bico de serviços gerais, como faxina, manutenção, reformas, jardinagem, “marido de aluguel”, entre outras",,,,,,,,,,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos,Tenho visto mais pessoas trabalhando nos semáforos/ruas,Tenho visto mais favelas/barracos/áreas ocupadas,Tenho visto o aumento da população em situação de rua/ pessoas morando na rua,Concorda em parte,Concorda totalmente,Discorda em parte,Discorda em parte,Concorda totalmente,Branca,Católica Apostólica Romana,NÃO TEM RENDIMENTO PESSOAL,MAIS DE 2 A 5,SUDESTE,INTERIOR,DE 100.001 A 500.000,186642032.0,2023-07-01,Face a face,1073
66.0,FEM,4ª série (ou 5º ano),Não existe diferença no tratamento entre pessoas negras e brancas,,,Shoppings e comércios,,,,,,,,Não,Não,Não,Não,Não,Não,Não precisou fazer atividade extra,,,,,,,,,,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos,Tenho visto mais pessoas trabalhando nos semáforos/ruas,Tenho visto o aumento da população em situação de rua/ pessoas morando na rua,,Não sabe/ Não respondeu,Concorda totalmente,Concorda totalmente,Discorda totalmente,Concorda totalmente,Branca,Católica Apostólica Romana,ATÉ 1,MAIS DE 2 A 5,SUDESTE,INTERIOR,DE 100.001 A 500.000,186642033.0,2023-07-01,Face a face,1074
65.0,MAS,3ª série,"Rua e espaços públicos de convivência como parques, praças, etc.","Shoppings e estabelecimentos comerciais (lojas, cinemas, restaurantes, bares, mercados e supermercados, farmácias)",Escolas/faculdades e universidades,Não sofri/ não vi alguém sofrer alguma situação de preconceito,,,,,,,,,,,,,,Não precisou fazer atividade extra,,,,,,,,,,Não sabe/ Não respondeu,,,,Discorda totalmente,Concorda totalmente,Não sabe/ Não respondeu,Discorda totalmente,Concorda totalmente,Parda,Católica Apostólica Romana,MAIS DE 5 A 10,MAIS DE 5 A 10,SUDESTE,INTERIOR,DE 100.001 A 500.000,186642034.0,2023-07-01,Face a face,1075
