IDADE,SEXO,ESCOLARIDADE,P1_1,P1_2,P1_3,P2_1,P2_2,P2_3,P2_4,P2_5,P2_6,P2_7,P2_8,P3A,P3B,P3C,P3D,P3E,P3F,P4_1,P4_2,P4_3,P4_4,P4_5,P4_6,P4_7,P4_8,P4_9,P4_10,P5_1,P5_2,P5_3,P5_4,P6A,P6B,P6C,P6D,P6E,RACA_COR,RELIGIÃO,REND1,REND2,REGIAO,COND,PORTE,ID_Ipec,DATA_ENTREVISTA,TIPO_COLETA,id_respondente
36.0,FEM,3ª série,"Trabalho (no processo de seleção, no dia a dia, na promoção profissional)","Shoppings e estabelecimentos comerciais (lojas, cinemas, restaurantes, bares, mercados e supermercados, farmácias)",Escolas/faculdades e universidades,Espaços públicos,,,,,,,,Não,Não,Não,Sim,Sim,Não,Não precisou fazer atividade extra,,,,,,,,,,Tenho visto mais pessoas trabalhando nos semáforos/ruas,Tenho visto o aumento da população em situação de rua/ pessoas morando na rua,,,Concorda em parte,Concorda totalmente,Concorda em parte,Discorda em parte,Concorda totalmente,Branca,Outras Evangélicas específicas,MAIS DE 1 A 2,MAIS DE 2 A 5,CENTRO OESTE,INTERIOR,DE 50.001 A 100.000,186578959.0,2023-07-01,Face a face,0
51.0,FEM,Superior completo,Escolas/faculdades e universidades,"Trabalho (no processo de seleção, no dia a dia, na promoção profissional)",,Trabalho,,,,,,,,Não,Não,Não,Não,Não,Não,Não precisou fazer atividade extra,,,,,,,,,,Tenho visto mais pessoas trabalhando nos semáforos/ruas,,,,Concorda em parte,Concorda totalmente,Discorda em parte,Discorda em parte,Discorda em parte,Parda,Outras Evangélicas específicas,MAIS DE 2 A 5,MAIS DE 2 A 5,CENTRO OESTE,INTERIOR,DE 50.001 A 100.000,186579662.0,2023-07-01,Face a face,1
67.0,MAS,5ª série (ou 6º ano),Não sabe/ Não respondeu,,,Espaços públicos,,,,,,,,,,,,,,Não precisou fazer atividade extra,,,,,,,,,,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos,,,,Discorda em parte,Concorda totalmente,Não sabe/ Não respondeu,Discorda totalmente,Concorda em parte,Parda,"Afro-Brasileiras (Umbanda, Candomblé, etc)",MAIS DE 1 A 2,MAIS DE 2 A 5,CENTRO OESTE,INTERIOR,DE 50.001 A 100.000,186580025.0,2023-07-01,Face a face,2
18.0,MAS,Analfabeto,Hospitais e postos de saúde,,,Espaços públicos,Trabalho,,,,,,,,,,,,,Não precisou fazer atividade extra,,,,,,,,,,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos,Tenho visto mais pessoas trabalhando nos semáforos/ruas,Tenho visto o aumento da população em situação de rua/ pessoas morando na rua,,Concorda totalmente,Concorda em parte,Discorda totalmente,Discorda totalmente,Discorda totalmente,Parda,Católica Apostólica Romana,ATÉ 1,ATÉ 1,CENTRO OESTE,INTERIOR,DE 50.001 A 100.000,186580409.0,2023-07-01,Face a face,3
83.0,FEM,1ª série (ou 2º ano),"Shoppings e estabelecimentos comerciais (lojas, cinemas, restaurantes, bares, mercados e supermercados, farmácias)",Escolas/faculdades e universidades,"Rua e espaços públicos de convivência como parques, praças, etc.",Trabalho,Escola/Faculdade,Shoppings e comércios,,,,,,Não,Não,Não,Não,Não,Não,Não precisou fazer atividade extra,,,,,,,,,,Não sabe/ Não respondeu,,,,Discorda em parte,Concorda totalmente,Concorda em parte,Concorda em parte,Discorda totalmente,Preta,Espírita/ Kardecista,ATÉ 1,ATÉ 1,SUDESTE,INTERIOR,DE 100.001 A 500.000,186580426.0,2023-07-01,Face a face,4
30.0,MAS,3ª série,Não sabe/ Não respondeu,,,Não sofri/ não vi alguém sofrer alguma situação de preconceito,,,,,,,,,,,,,,Não precisou fazer atividade extra,,,,,,,,,,Tenho visto mais pessoas trabalhando nos semáforos/ruas,,,,Concorda em parte,Concorda totalmente,Concorda totalmente,"Não concorda, nem discorda",Discorda em parte,Parda,Outras Evangélicas específicas,MAIS DE 1 A 2,MAIS DE 5 A 10,SUL,PERIFERIA,DE 100.001 A 500.000,186580780.0,2023-07-01,Face a face,5
20.0,MAS,4ª série (ou 5º ano),"Shoppings e estabelecimentos comerciais (lojas, cinemas, restaurantes, bares, mercados e supermercados, farmácias)",Transporte público,"Rua e espaços públicos de convivência como parques, praças, etc.",Transporte público,,,,,,,,,,,,,,"Passear com cachorros, animais de estimação",,,,,,,,,,Tenho visto mais pessoas trabalhando nos semáforos/ruas,,,,Discorda em parte,Concorda totalmente,Discorda em parte,"Não concorda, nem discorda",Concorda em parte,Preta,"Ateu, não tem religião",ATÉ 1,MAIS DE 1 A 2,CENTRO OESTE,INTERIOR,DE 50.001 A 100.000,186580854.0,2023-07-01,Face a face,6
69.0,FEM,Analfabeto,Não sabe/ Não respondeu,,,Não respondeu,,,,,,,,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não precisou fazer atividade extra,,,,,,,,,,Não sabe/ Não respondeu,,,,Não sabe/ Não respondeu,Não sabe/ Não respondeu,Não sabe/ Não respondeu,Não sabe/ Não respondeu,Não sabe/ Não respondeu,Parda,Católica Apostólica Romana,ATÉ 1,ATÉ 1,NORTE,INTERIOR,DE 20.001 A 50.000,186581005.0,2023-07-01,Face a face,7
54.0,FEM,8ª série (ou 9º ano),Não existe diferença no tratamento entre pessoas negras e brancas,,,Não sofri/ não vi alguém sofrer alguma situação de preconceito,,,,,,,,Não,Não,Não,Não,Não,Não,Não precisou fazer atividade extra,,,,,,,,,,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade,,,,Discorda em parte,Concorda totalmente,Discorda totalmente,Concorda em parte,Concorda totalmente,Branca,Católica Apostólica Romana,NÃO TEM RENDIMENTO PESSOAL,MAIS DE 1 A 2,SUL,INTERIOR,ATÉ 5.000,186581017.0,2023-07-01,Face a face,8
59.0,FEM,4ª série (ou 5º ano),"Rua e espaços públicos de convivência como parques, praças, etc.","Shoppings e estabelecimentos comerciais (lojas, cinemas, restaurantes, bares, mercados e supermercados, farmácias)",,No ambiente familiar,Transporte público,,,,,,,Não,Não,Não,Não,Não,Não,Revender cosméticos ou produtos de beleza,Vender roupas e outros artigos usados,,,,,,,,,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos,Tenho visto mais favelas/barracos/áreas ocupadas,Tenho visto o aumento da população em situação de rua/ pessoas morando na rua,,Concorda totalmente,Discorda em parte,Discorda em parte,Discorda em parte,Concorda em parte,Branca,Católica Apostólica Romana,ATÉ 1,MAIS DE 1 A 2,CENTRO OESTE,INTERIOR,DE 50.001 A 100.000,186581379.0,2023-07-01,Face a face,9
58.0,FEM,3ª série,"Shoppings e estabelecimentos comerciais (lojas, cinemas, restaurantes, bares, mercados e supermercados, farmácias)","Rua e espaços públicos de convivência como parques, praças, etc.",Transporte público,Não sofri/ não vi alguém sofrer alguma situação de preconceito,,,,,,,,Não,Não,Não,Não,Sim,Não,Não precisou fazer atividade extra,,,,,,,,,,Tenho visto o aumento da população em situação de rua/ pessoas morando na rua,,,,Concorda totalmente,Concorda totalmente,Concorda em parte,Discorda totalmente,Não sabe/ Não respondeu,Branca,É religioso mas não segue nenhuma/ Agnóstico,NÃO TEM RENDIMENTO PESSOAL,MAIS DE 2 A 5,SUDESTE,INTERIOR,DE 100.001 A 500.000,186581394.0,2023-07-01,Face a face,10
35.0,FEM,Superior incompleto,"Trabalho (no processo de seleção, no dia a dia, na promoção profissional)","Rua e espaços públicos de convivência como parques, praças, etc.",Escolas/faculdades e universidades,Trabalho,Escola/Faculdade,No ambiente familiar,,,,,,Não,Não,Não,Não,Não,Não,Não precisou fazer atividade extra,,,,,,,,,,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos,Tenho visto o aumento da população em situação de rua/ pessoas morando na rua,,,Discorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Discorda em parte,Parda,Católica Apostólica Romana,MAIS DE 1 A 2,MAIS DE 2 A 5,SUDESTE,INTERIOR,DE 100.001 A 500.000,186581651.0,2023-07-01,Face a face,11
55.0,FEM,3ª série,Não existe diferença no tratamento entre pessoas negras e brancas,,,Não sofri/ não vi alguém sofrer alguma situação de preconceito,,,,,,,,Não,Não,Não,Não,Não,Não,Não precisou fazer atividade extra,,,,,,,,,,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos,,,,Discorda em parte,Concorda em parte,Concorda em parte,Discorda em parte,Concorda totalmente,Branca,Católica Apostólica Romana,ATÉ 1,MAIS DE 2 A 5,SUL,INTERIOR,ATÉ 5.000,186581906.0,2023-07-01,Face a face,12
56.0,MAS,Superior completo,"Trabalho (no processo de seleção, no dia a dia, na promoção profissional)",Hospitais e postos de saúde,Escolas/faculdades e universidades,Espaços públicos,Escola/Faculdade,,,,,,,,,,,,,Não precisou fazer atividade extra,,,,,,,,,,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade,,,,Discorda totalmente,"Não concorda, nem discorda",Discorda totalmente,Concorda em parte,Concorda totalmente,Branca,Católica Apostólica Romana,MAIS DE 10 A 20,MAIS DE 10 A 20,SUL,INTERIOR,DE 100.001 A 500.000,186581915.0,2023-07-01,Face a face,13
28.0,MAS,3ª série,Ambiente familiar,"Local onde mora (rua, vila, condomínio, etc.)",Hospitais e postos de saúde,Não sofri/ não vi alguém sofrer alguma situação de preconceito,,,,,,,,,,,,,,"Bico de serviços gerais, como faxina, manutenção, reformas, jardinagem, “marido de aluguel”, entre outras",,,,,,,,,,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos,,,,Concorda em parte,Concorda totalmente,Concorda totalmente,Discorda em parte,Concorda totalmente,Parda,Evangélica - Não sabe especificar,MAIS DE 1 A 2,MAIS DE 1 A 2,SUDESTE,INTERIOR,DE 50.001 A 100.000,186582015.0,2023-07-01,Face a face,14
58.0,MAS,8ª série (ou 9º ano),Não sabe/ Não respondeu,,,Não respondeu,,,,,,,,,,,,,,Não precisou fazer atividade extra,,,,,,,,,,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos,Tenho visto o aumento da população em situação de rua/ pessoas morando na rua,,,Não sabe/ Não respondeu,Concorda totalmente,Concorda totalmente,Discorda totalmente,Concorda em parte,Branca,É religioso mas não segue nenhuma/ Agnóstico,MAIS DE 1 A 2,MAIS DE 1 A 2,SUDESTE,CAPITAL,MAIS DE 500.000,186582019.0,2023-07-01,Face a face,15
63.0,FEM,3ª série,Não existe diferença no tratamento entre pessoas negras e brancas,,,Não sofri/ não vi alguém sofrer alguma situação de preconceito,,,,,,,,Não,Não,Não,Não,Não,Não,Não precisou fazer atividade extra,,,,,,,,,,Tenho visto o aumento da população em situação de rua/ pessoas morando na rua,,,,Concorda totalmente,Concorda totalmente,Não sabe/ Não respondeu,Concorda em parte,Concorda totalmente,Preta,Católica Apostólica Romana,ATÉ 1,NÃO RESPONDEU,SUDESTE,INTERIOR,DE 100.001 A 500.000,186582060.0,2023-07-01,Face a face,16
44.0,MAS,3ª série,"Trabalho (no processo de seleção, no dia a dia, na promoção profissional)",Escolas/faculdades e universidades,"Shoppings e estabelecimentos comerciais (lojas, cinemas, restaurantes, bares, mercados e supermercados, farmácias)",Não respondeu,,,,,,,,,,,,,,Não precisou fazer atividade extra,,,,,,,,,,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos,Tenho visto mais pessoas trabalhando nos semáforos/ruas,Tenho visto o aumento da população em situação de rua/ pessoas morando na rua,,Discorda totalmente,Concorda totalmente,Concorda totalmente,Concorda em parte,Concorda totalmente,Amarela,Assembléia de Deus,MAIS DE 2 A 5,MAIS DE 2 A 5,SUDESTE,INTERIOR,DE 100.001 A 500.000,186582291.0,2023-07-01,Face a face,17
25.0,FEM,3ª série,Hospitais e postos de saúde,"Trabalho (no processo de seleção, no dia a dia, na promoção profissional)","Rua e espaços públicos de convivência como parques, praças, etc.",Não respondeu,,,,,,,,Não,Não,Não,Não,Não,Não,"Bico de serviços gerais, como faxina, manutenção, reformas, jardinagem, “marido de aluguel”, entre outras",Vender roupas e outros artigos usados,,,,,,,,,Tenho visto mais favelas/barracos/áreas ocupadas,,,,Concorda totalmente,Concorda totalmente,Concorda totalmente,Discorda em parte,Concorda totalmente,Branca,Católica Apostólica Romana,NÃO RESPONDEU,MAIS DE 2 A 5,CENTRO OESTE,INTERIOR,DE 50.001 A 100.000,186582333.0,2023-07-01,Face a face,18
22.0,FEM,Superior completo,Não sabe/ Não respondeu,,,Não respondeu,,,,,,,,Não,Não,Não,Não,Não,Não,Não precisou fazer atividade extra,,,,,,,,,,Não sabe/ Não respondeu,,,,Não sabe/ Não respondeu,Concorda em parte,Concorda em parte,Concorda em parte,Concorda em parte,Branca,Católica Apostólica Romana,ATÉ 1,MAIS DE 1 A 2,NORTE,INTERIOR,DE 20.001 A 50.000,186582427.0,2023-07-01,Face a face,19
46.0,FEM,3ª série,"Rua e espaços públicos de convivência como parques, praças, etc.","Shoppings e estabelecimentos comerciais (lojas, cinemas, restaurantes, bares, mercados e supermercados, farmácias)",Transporte público,Não sofri/ não vi alguém sofrer alguma situação de preconceito,,,,,,,,Não,Não,Não,Não,Não,Não,Não precisou fazer atividade extra,,,,,,,,,,Tenho visto o aumento da população em situação de rua/ pessoas morando na rua,,,,Concorda totalmente,Concorda totalmente,Concorda totalmente,Discorda totalmente,Concorda totalmente,Branca,Católica Apostólica Romana,MAIS DE 1 A 2,NÃO RESPONDEU,SUDESTE,INTERIOR,DE 100.001 A 500.000,186582611.0,2023-07-01,Face a face,20
67.0,MAS,3ª série (ou 4º ano),Escolas/faculdades e universidades,"Rua e espaços públicos de convivência como parques, praças, etc.","Shoppings e estabelecimentos comerciais (lojas, cinemas, restaurantes, bares, mercados e supermercados, farmácias)",Não sofri/ não vi alguém sofrer alguma situação de preconceito,,,,,,,,,,,,,,"Bico de serviços gerais, como faxina, manutenção, reformas, jardinagem, “marido de aluguel”, entre outras",,,,,,,,,,Tenho visto mais favelas/barracos/áreas ocupadas,,,,Concorda totalmente,Concorda totalmente,Discorda totalmente,Discorda totalmente,Concorda totalmente,Parda,Católica Apostólica Romana,ATÉ 1,ATÉ 1,SUDESTE,INTERIOR,DE 100.001 A 500.000,186582681.0,2023-07-01,Face a face,21
49.0,FEM,3ª série,"Shoppings e estabelecimentos comerciais (lojas, cinemas, restaurantes, bares, mercados e supermercados, farmácias)",,,Shoppings e comércios,,,,,,,,Sim,Sim,Não,Não,Sim,Não,"Produzir alimentos em casa para vender (bolos, pães, doces, refeições, etc.)",Revender cosméticos ou produtos de beleza,,,,,,,,,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos,,,,Concorda totalmente,Concorda totalmente,Concorda totalmente,Discorda em parte,Concorda totalmente,Branca,Espírita/ Kardecista,MAIS DE 2 A 5,MAIS DE 2 A 5,SUL,PERIFERIA,DE 100.001 A 500.000,186582834.0,2023-07-01,Face a face,22
50.0,FEM,Superior incompleto,Não existe diferença no tratamento entre pessoas negras e brancas,,,Não sofri/ não vi alguém sofrer alguma situação de preconceito,,,,,,,,Não,Não,Não,Não,Não,Não,Não sabe/ Não respondeu,,,,,,,,,,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos,,,,Concorda em parte,Discorda totalmente,Discorda totalmente,Discorda totalmente,Concorda totalmente,Branca,Católica Apostólica Romana,MAIS DE 1 A 2,MAIS DE 2 A 5,SUDESTE,CAPITAL,MAIS DE 500.000,186582836.0,2023-07-01,Face a face,23
38.0,FEM,5ª série (ou 6º ano),"Rua e espaços públicos de convivência como parques, praças, etc.",Transporte público,"Local onde mora (rua, vila, condomínio, etc.)",Transporte público,Shoppings e comércios,Bares e restaurantes,,,,,,Não,Não,Não,Não,Não,Não,Não precisou fazer atividade extra,,,,,,,,,,Tenho visto mais pessoas trabalhando nos semáforos/ruas,Tenho visto o aumento da população em situação de rua/ pessoas morando na rua,,,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Parda,É religioso mas não segue nenhuma/ Agnóstico,ATÉ 1,MAIS DE 1 A 2,NORDESTE,CAPITAL,MAIS DE 500.000,186582839.0,2023-07-01,Face a face,24
51.0,FEM,8ª série (ou 9º ano),Não existe diferença no tratamento entre pessoas negras e brancas,,,Não sofri/ não vi alguém sofrer alguma situação de preconceito,,,,,,,,Não,Não,Não,Não,Não,Não,Cuidar de idosos,,,,,,,,,,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade,,,,"Não concorda, nem discorda",Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Branca,Católica Apostólica Romana,ATÉ 1,ATÉ 1,SUDESTE,INTERIOR,DE 50.001 A 100.000,186583051.0,2023-07-01,Face a face,25
39.0,MAS,3ª série,"Rua e espaços públicos de convivência como parques, praças, etc.","Shoppings e estabelecimentos comerciais (lojas, cinemas, restaurantes, bares, mercados e supermercados, farmácias)","Trabalho (no processo de seleção, no dia a dia, na promoção profissional)",Espaços públicos,,,,,,,,,,,,,,"Fazer trabalhos manuais, como bijuterias, artesanatos","Bico de serviços gerais, como faxina, manutenção, reformas, jardinagem, “marido de aluguel”, entre outras",Vender roupas e outros artigos usados,,,,,,,,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos,Tenho visto o aumento da população em situação de rua/ pessoas morando na rua,,,"Não concorda, nem discorda",Concorda em parte,Concorda em parte,Discorda em parte,Concorda totalmente,Branca,"Ateu, não tem religião",MAIS DE 2 A 5,MAIS DE 2 A 5,SUDESTE,INTERIOR,DE 50.001 A 100.000,186583327.0,2023-07-01,Face a face,26
26.0,FEM,2ª série,Não existe diferença no tratamento entre pessoas negras e brancas,,,Não respondeu,,,,,,,,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Cuidar de idosos,,,,,,,,,,Tenho visto mais pessoas trabalhando nos semáforos/ruas,Tenho visto o aumento da população em situação de rua/ pessoas morando na rua,,,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Concorda totalmente,Parda,Católica Apostólica Romana,ATÉ 1,MAIS DE 1 A 2,SUDESTE,INTERIOR,DE 50.001 A 100.000,186583328.0,2023-07-01,Face a face,27
40.0,FEM,7ª série (ou 8º ano),"Rua e espaços públicos de convivência como parques, praças, etc.",,,Espaços públicos,,,,,,,,Não,Não,Não,Não,Não,Não,Vender roupas e outros artigos usados,,,,,,,,,,Tenho visto mais pessoas trabalhando nos semáforos/ruas,Tenho visto o aumento da população em situação de rua/ pessoas morando na rua,,,Discorda totalmente,Concorda totalmente,Concorda em parte,Concorda em parte,Concorda totalmente,Branca,Outras Evangélicas específicas,ATÉ 1,ATÉ 1,SUDESTE,INTERIOR,DE 50.001 A 100.000,186583329.0,2023-07-01,Face a face,28
51.0,FEM,6ª série (ou 7º ano),"Shoppings e estabelecimentos comerciais (lojas, cinemas, restaurantes, bares, mercados e supermercados, farmácias)",Transporte público,,Não respondeu,,,,,,,,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,Não precisou fazer atividade extra,,,,,,,,,,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade,,,,Discorda totalmente,Concorda totalmente,Concorda totalmente,Discorda em parte,Concorda totalmente,Branca,Católica Apostólica Romana,ATÉ 1,MAIS DE 2 A 5,SUDESTE,INTERIOR,DE 50.001 A 100.000,186583330.0,2023-07-01,Face a face,29
39.0,FEM,7ª série (ou 8º ano),"Local onde mora (rua, vila, condomínio, etc.)",Escolas/faculdades e universidades,"Trabalho (no processo de seleção, no dia a dia, na promoção profissional)",Espaços públicos,,,,,,,,Não,Não,Não,Sim,Sim,Não,"Bico de serviços gerais, como faxina, manutenção, reformas, jardinagem, “marido de aluguel”, entre outras",,,,,,,,,,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos,,,,Concorda totalmente,Concorda totalmente,Discorda em parte,Discorda em parte,Concorda totalmente,Parda,Assembléia de Deus,MAIS DE 1 A 2,MAIS DE 1 A 2,SUDESTE,INTERIOR,DE 100.001 A 500.000,186583437.0,2023-07-01,Face a face,30
25.0,FEM,3ª série,"Trabalho (no processo de seleção, no dia a dia, na promoção profissional)",Hospitais e postos de saúde,"Shoppings e estabelecimentos comerciais (lojas, cinemas, restaurantes, bares, mercados e supermercados, farmácias)",Não sofri/ não vi alguém sofrer alguma situação de preconceito,,,,,,,,Não,Não,Não,Não,Sim,Não,Vender roupas e outros artigos usados,,,,,,,,,,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos,,,,Discorda totalmente,Concorda totalmente,Concorda em parte,Discorda totalmente,Discorda em parte,Amarela,"Ateu, não tem religião",ATÉ 1,MAIS DE 1 A 2,NORTE,INTERIOR,DE 20.001 A 50.000,186583455.0,2023-07-01,Face a face,31
62.0,FEM,Superior incompleto,"Shoppings e estabelecimentos comerciais (lojas, cinemas, restaurantes, bares, mercados e supermercados, farmácias)",,,Não sofri/ não vi alguém sofrer alguma situação de preconceito,,,,,,,,Não,Não,Não,Não,Não,Não,Cuidar de idosos,,,,,,,,,,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos,,,,Concorda em parte,Concorda totalmente,Concorda totalmente,Discorda totalmente,Concorda totalmente,Preta,Assembléia de Deus,ATÉ 1,ATÉ 1,SUL,PERIFERIA,DE 100.001 A 500.000,186583479.0,2023-07-01,Face a face,32
49.0,FEM,3ª série,"Shoppings e estabelecimentos comerciais (lojas, cinemas, restaurantes, bares, mercados e supermercados, farmácias)","Local onde mora (rua, vila, condomínio, etc.)","Rua e espaços públicos de convivência como parques, praças, etc.",Escola/Faculdade,,,,,,,,Sim,Não,Sim,Não,Sim,Sim,Atuar como segurança em estabelecimentos comerciais,Dar aula particular/ aula de reforço,,,,,,,,,Tenho visto mais favelas/barracos/áreas ocupadas,Tenho visto o aumento da população em situação de rua/ pessoas morando na rua,,,Concorda totalmente,Concorda em parte,Concorda totalmente,Discorda em parte,Discorda em parte,Parda,Universal do Reino de Deus,NÃO TEM RENDIMENTO PESSOAL,MAIS DE 1 A 2,CENTRO OESTE,CAPITAL,MAIS DE 500.000,186583534.0,2023-07-01,Face a face,33
36.0,MAS,3ª série,Não sabe/ Não respondeu,,,Não sofri/ não vi alguém sofrer alguma situação de preconceito,,,,,,,,,,,,,,"Bico de serviços gerais, como faxina, manutenção, reformas, jardinagem, “marido de aluguel”, entre outras",,,,,,,,,,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos,,,,Concorda totalmente,Concorda totalmente,Concorda em parte,Concorda totalmente,Concorda em parte,Branca,"Ateu, não tem religião",ATÉ 1,ATÉ 1,SUDESTE,INTERIOR,DE 50.001 A 100.000,186583579.0,2023-07-01,Face a face,34
36.0,MAS,3ª série,"Trabalho (no processo de seleção, no dia a dia, na promoção profissional)","Rua e espaços públicos de convivência como parques, praças, etc.",Transporte público,Não sofri/ não vi alguém sofrer alguma situação de preconceito,,,,,,,,,,,,,,Não precisou fazer atividade extra,,,,,,,,,,Tenho visto ou conheço muitas pessoas com dificuldades para comprar alimentos,,,,Concorda totalmente,Concorda totalmente,Discorda em parte,Discorda totalmente,Discorda em parte,Parda,É religioso mas não segue nenhuma/ Agnóstico,NÃO RESPONDEU,NÃO RESPONDEU,SUDESTE,CAPITAL,MAIS DE 500.000,186583646.0,2023-07-01,Face a face,35
36.0,MAS,Superior incompleto,"Shoppings e estabelecimentos comerciais (lojas, cinemas, restaurantes, bares, mercados e supermercados, farmácias)","Rua e espaços públicos de convivência como parques, praças, etc.",Transporte público,Espaços públicos,Trabalho,No ambiente familiar,Transporte público,Shoppings e comércios,Bares e restaurantes,,,,,,,,,"Fazer trabalhos manuais, como bijuterias, artesanatos","Produzir alimentos em casa para vender (bolos, pães, doces, refeições, etc.)",,,,,,,,,Tenho visto mais pessoas trabalhando nos semáforos/ruas,Tenho visto o aumento da população em situação de rua/ pessoas morando na rua,,,Concorda em parte,"Não concorda, nem discorda",Discorda totalmente,Concorda totalmente,Concorda totalmente,Branca,Assembléia de Deus,MAIS DE 1 A 2,MAIS DE 2 A 5,SUDESTE,INTERIOR,DE 100.001 A 500.000,186583682.0,2023-07-01,Face a face,36
50.0,FEM,3ª série,"Trabalho (no processo de seleção, no dia a dia, na promoção profissional)",,,Não sofri/ não vi alguém sofrer alguma situação de preconceito,,,,,,,,Sim,Não,Não,Não,Não,Não,Não precisou fazer atividade extra,,,,,,,,,,Não sabe/ Não respondeu,,,,Discorda em parte,Discorda totalmente,Discorda em parte,Discorda totalmente,Concorda totalmente,Parda,Assembléia de Deus,NÃO TEM RENDIMENTO PESSOAL,MAIS DE 2 A 5,CENTRO OESTE,INTERIOR,DE 100.001 A 500.000,186583713.0,2023-07-01,Face a face,37
24.0,FEM,3ª série,"Shoppings e estabelecimentos comerciais (lojas, cinemas, restaurantes, bares, mercados e supermercados, farmácias)","Rua e espaços públicos de convivência como parques, praças, etc.",Hospitais e postos de saúde,Espaços públicos,Shoppings e comércios,,,,,,,Não,Não,Não,Não,Não,Não,Não precisou fazer atividade extra,,,,,,,,,,Tenho visto mais favelas/barracos/áreas ocupadas,Tenho visto o aumento da população em situação de rua/ pessoas morando na rua,,,Concorda totalmente,Concorda totalmente,Concorda totalmente,Discorda em parte,Concorda totalmente,Preta,Universal do Reino de Deus,MAIS DE 1 A 2,MAIS DE 2 A 5,SUDESTE,CAPITAL,MAIS DE 500.000,186583772.0,2023-07-01,Face a face,38
66.0,MAS,Superior incompleto,"Shoppings e estabelecimentos comerciais (lojas, cinemas, restaurantes, bares, mercados e supermercados, farmácias)",Transporte público,"Local onde mora (rua, vila, condomínio, etc.)",Espaços públicos,Transporte público,Shoppings e comércios,,,,,,,,,,,,Não precisou fazer atividade extra,,,,,,,,,,Tenho visto mais pessoas trabalhando nos semáforos/ruas,,,,Discorda totalmente,Concorda totalmente,Discorda em parte,Concorda totalmente,Concorda totalmente,Parda,Espírita/ Kardecista,ATÉ 1,ATÉ 1,SUDESTE,CAPITAL,MAIS DE 500.000,186583787.0,2023-07-01,Face a face,39
46.0,FEM,3ª série,Não existe diferença no tratamento entre pessoas negras e brancas,,,Não sofri/ não vi alguém sofrer alguma situação de preconceito,,,,,,,,Sim,Não,Não,Não,Não,Não,"Produzir alimentos em casa para vender (bolos, pães, doces, refeições, etc.)",,,,,,,,,,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade,,,,Concorda em parte,Concorda em parte,Concorda em parte,Concorda em parte,Discorda em parte,Branca,Católica Apostólica Romana,NÃO TEM RENDIMENTO PESSOAL,MAIS DE 2 A 5,SUDESTE,INTERIOR,DE 100.001 A 500.000,186583843.0,2023-07-01,Face a face,40
27.0,FEM,3ª série,Não existe diferença no tratamento entre pessoas negras e brancas,,,Não sofri/ não vi alguém sofrer alguma situação de preconceito,,,,,,,,Não,Não,Não,Não,Não,Não,Não precisou fazer atividade extra,,,,,,,,,,Não tenho percebido/ visto aumento de pessoas em situação de pobreza na cidade,,,,Discorda totalmente,Concorda totalmente,Discorda totalmente,Concorda totalmente,Concorda totalmente,Parda,É religioso mas não segue nenhuma/ Agnóstico,MAIS DE 1 A 2,MAIS DE 2 A 5,SUDESTE,INTERIOR,DE 100.001 A 500.000,186583876.0,2023-07-01,Face a face,41
